Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,13.39
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,13.79
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,17.14
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,17.57
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,15.02
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2021,,,,18.29
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2022,,,,18.08332097
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2023,,,,17.01737039
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,356,IND,India,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2024,,,,16.20696259
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2006,,,,12.09250703
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2007,,,,12.19128202
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2008,,,,12.1893604
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2009,,,,12.1
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2010,,,,12.1
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2011,,,,12.09
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2012,,,,13.34
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2013,,,,13.32
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2014,,,,13.32
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2015,,,,13.91
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,13.9
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,13.72
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,13.7
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,13.59
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,13.59
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2021,,,,13.58
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2022,,,,13.42279684
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2023,,,,13.41830742
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,410,KOR,"Korea, Republic of",-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2024,,,,13.43114459
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2006,,,,13.97317996
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2007,,,,12.62169371
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2008,,,,12.61623874
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2009,,,,11.48
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2010,,,,9.02
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2011,,,,8.25
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2012,,,,7.84
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2013,,,,7.88
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2014,,,,7.52
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2015,,,,7.11
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2016,,,,7.01
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2017,,,,6.91
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2018,,,,6.98
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2019,,,,7.09
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2020,,,,7.11
MFN applied tariffs,TP_A_0010,Simple average MFN applied tariff - all products,484,MEX,Mexico,-,,-,-,-,-,-,A,Annual,A,Annual,PCT,Percent,2021,,,,7.06
